sample_id,cluster_label
0,3
1,4
2,2
3,4
4,4
5,1
6,2
7,2
8,2
9,4
10,3
11,2
12,4
13,1
14,3
15,1
16,3
17,4
18,0
19,3
20,1
21,4
22,3
23,0
24,0
25,2
26,2
27,1
28,3
29,3
30,2
31,3
32,3
33,0
34,2
35,4
36,2
37,4
38,0
39,1
40,3
41,0
42,3
43,1
44,1
45,0
46,1
47,4
48,1
49,3
50,3
51,3
52,3
53,4
54,2
55,0
56,3
57,1
58,3
59,1
60,1
61,3
62,4
63,1
64,1
65,3
66,1
67,1
68,3
69,3
70,0
71,4
72,4
73,1
74,4
75,1
76,0
77,3
78,3
79,3
80,4
81,0
82,4
83,4
84,0
85,0
86,0
87,0
88,3
89,2
90,2
91,0
92,2
93,2
94,0
95,2
96,4
97,1
98,1
99,0
100,3
101,0
102,3
103,1
104,0
105,4
106,2
107,3
108,2
109,2
110,0
111,2
112,4
113,2
114,0
115,4
116,1
117,2
118,0
119,1
120,1
121,3
122,4
123,2
124,0
125,3
126,4
127,3
128,4
129,4
130,2
131,4
132,3
133,4
134,2
135,2
136,3
137,1
138,1
139,4
140,0
141,4
142,3
143,3
144,3
145,3
146,3
147,2
148,1
149,3
150,0
151,0
152,0
153,0
154,2
155,0
156,3
157,4
158,0
159,2
160,2
161,0
162,4
163,0
164,2
165,1
166,3
167,2
168,0
169,3
170,0
171,0
172,1
173,3
174,3
175,1
176,2
177,0
178,4
179,0
180,0
181,2
182,0
183,1
184,1
185,3
186,4
187,0
188,0
189,2
190,1
191,4
192,3
193,1
194,3
195,2
196,2
197,0
198,4
199,3
200,1
201,2
202,0
203,0
204,3
205,2
206,4
207,2
208,3
209,3
210,2
211,3
212,2
213,1
214,2
215,2
216,3
217,3
218,0
219,0
220,1
221,0
222,2
223,3
224,0
225,0
226,1
227,1
228,2
229,3
230,1
231,0
232,3
233,3
234,0
235,1
236,0
237,3
238,4
239,4
240,2
241,0
242,0
243,2
244,2
245,2
246,3
247,0
248,3
249,2
250,0
251,3
252,3
253,2
254,0
255,2
256,0
257,4
258,1
259,1
260,1
261,2
262,4
263,0
264,3
265,0
266,3
267,0
268,4
269,3
270,2
271,0
272,0
273,3
274,2
275,2
276,4
277,2
278,2
279,2
280,1
281,4
282,0
283,3
284,0
285,4
286,3
287,4
288,2
289,3
290,2
291,0
292,0
293,3
294,3
295,4
296,4
297,2
298,3
299,0
300,4
301,4
302,0
303,4
304,2
305,3
306,0
307,3
308,4
309,4
310,0
311,2
312,1
313,0
314,1
315,1
316,2
317,1
318,1
319,2
320,1
321,1
322,1
323,0
324,0
325,0
326,2
327,4
328,1
329,1
330,2
331,1
332,0
333,4
334,3
335,1
336,0
337,3
338,4
339,3
340,0
341,3
342,2
343,3
344,1
345,1
346,2
347,0
348,1
349,4
350,1
351,1
352,0
353,3
354,1
355,2
356,3
357,4
358,0
359,4
360,3
361,3
362,3
363,4
364,3
365,4
366,3
367,2
368,3
369,4
370,1
371,3
372,1
373,2
374,0
375,2
376,3
377,1
378,1
379,4
380,1
381,4
382,0
383,3
384,4
385,0
386,1
387,1
388,0
389,1
390,0
391,4
392,4
393,0
394,4
395,4
396,4
397,2
398,3
399,1
400,2
401,4
402,0
403,4
404,3
405,4
406,0
407,3
408,4
409,3
410,1
411,1
412,4
413,3
414,0
415,4
416,1
417,1
418,4
419,3
420,1
421,3
422,1
423,1
424,2
425,1
426,0
427,4
428,4
429,3
430,1
431,0
432,3
433,2
434,3
435,3
436,1
437,2
438,3
439,0
440,0
441,4
442,2
443,2
444,4
445,3
446,2
447,0
448,0
449,1
450,2
451,3
452,4
453,4
454,3
455,1
456,4
457,2
458,1
459,2
460,0
461,1
462,4
463,1
464,1
465,1
466,1
467,2
468,0
469,3
470,1
471,4
472,1
473,4
474,2
475,4
476,3
477,0
478,4
479,4
480,0
481,3
482,1
483,4
484,0
485,2
486,0
487,2
488,3
489,1
490,0
491,4
492,3
493,0
494,4
495,0
496,2
497,0
498,0
499,0
500,3
501,0
502,4
503,2
504,2
505,0
506,3
507,3
508,4
509,0
510,2
511,3
512,0
513,3
514,3
515,2
516,1
517,4
518,4
519,2
520,3
521,0
522,3
523,2
524,4
525,3
526,4
527,0
528,4
529,4
530,1
531,1
532,1
533,4
534,2
535,4
536,2
537,2
538,1
539,3
540,0
541,1
542,1
543,3
544,0
545,4
546,4
547,1
548,0
549,1
550,2
551,1
552,1
553,4
554,4
555,4
556,2
557,4
558,0
559,3
560,0
561,0
562,4
563,3
564,3
565,3
566,2
567,4
568,3
569,2
570,1
571,1
572,2
573,2
574,4
575,4
576,1
577,3
578,1
579,3
580,3
581,4
582,0
583,0
584,2
585,4
586,3
587,0
588,3
589,0
590,0
591,0
592,4
593,1
594,3
595,4
596,4
597,4
598,4
599,4
600,2
601,3
602,4
603,3
604,2
605,2
606,3
607,0
608,1
609,0
610,0
611,0
612,4
613,2
614,0
615,2
616,3
617,1
618,3
619,3
620,4
621,1
622,3
623,3
624,1
625,1
626,3
627,1
628,3
629,3
630,4
631,0
632,3
633,2
634,0
635,0
636,0
637,4
638,3
639,4
640,3
641,4
642,4
643,2
644,4
645,1
646,2
647,4
648,0
649,1
650,1
651,1
652,2
653,4
654,4
655,0
656,0
657,1
658,0
659,2
660,4
661,1
662,0
663,2
664,2
665,0
666,4
667,0
668,1
669,0
670,2
671,0
672,4
673,3
674,0
675,4
676,4
677,2
678,4
679,4
680,4
681,4
682,1
683,1
684,2
685,0
686,4
687,0
688,0
689,2
690,4
691,4
692,3
693,0
694,0
695,1
696,3
697,1
698,1
699,1
700,2
701,2
702,1
703,3
704,0
705,3
706,4
707,2
708,0
709,0
710,4
711,4
712,1
713,2
714,2
715,3
716,1
717,1
718,1
719,1
720,2
721,2
722,1
723,3
724,0
725,0
726,3
727,1
728,2
729,0
730,4
731,4
732,3
733,1
734,0
735,1
736,0
737,3
738,3
739,4
740,1
741,4
742,1
743,4
744,2
745,2
746,2
747,2
748,0
749,2
750,3
751,3
752,0
753,2
754,2
755,2
756,4
757,1
758,4
759,1
760,2
761,2
762,4
763,4
764,1
765,3
766,1
767,4
768,4
769,0
770,4
771,0
772,3
773,1
774,1
775,0
776,1
777,4
778,2
779,0
780,1
781,0
782,0
783,2
784,4
785,0
786,1
787,3
788,0
789,0
790,2
791,4
792,3
793,1
794,3
795,1
796,4
797,1
798,2
799,2
800,2
801,2
802,3
803,4
804,1
805,1
806,2
807,2
808,0
809,4
810,3
811,1
812,0
813,0
814,1
815,3
816,0
817,0
818,4
819,3
820,0
821,3
822,1
823,2
824,0
825,4
826,1
827,3
828,1
829,0
830,3
831,2
832,1
833,0
834,4
835,3
836,1
837,1
838,2
839,2
840,4
841,4
842,0
843,0
844,4
845,4
846,3
847,2
848,0
849,2
850,2
851,4
852,3
853,1
854,3
855,3
856,2
857,3
858,0
859,2
860,0
861,1
862,2
863,1
864,2
865,4
866,3
867,4
868,1
869,3
870,2
871,3
872,0
873,3
874,0
875,3
876,0
877,1
878,4
879,2
880,3
881,4
882,2
883,2
884,0
885,1
886,1
887,4
888,1
889,3
890,1
891,4
892,1
893,3
894,0
895,4
896,0
897,0
898,0
899,2
900,2
901,0
902,4
903,3
904,3
905,1
906,4
907,2
908,0
909,1
910,3
911,2
912,2
913,0
914,3
915,4
916,2
917,0
918,4
919,3
920,2
921,4
922,4
923,4
924,2
925,2
926,1
927,3
928,0
929,4
930,1
931,0
932,1
933,2
934,4
935,0
936,0
937,0
938,0
939,0
940,1
941,4
942,2
943,2
944,2
945,2
946,1
947,3
948,4
949,0
950,3
951,2
952,3
953,4
954,0
955,0
956,4
957,4
958,2
959,0
960,3
961,1
962,1
963,4
964,2
965,1
966,0
967,4
968,3
969,4
970,3
